id,user,tweet,date,query,polarity
1579463404963917828,ParisSaclay,"[#JO2024] Paris-Saclay, Terre de Jeux 2024, accueillera au sein de l'@AggloVGP, le marathon olympique de #Paris2024 🥇👇
https://t.co/WNF9hFp2Or",2022-10-10 13:26:35+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579459966821601282,Agence_du_Sport,"Ce samedi 8 octobre avait lieu la première journée paralympique orchestrée par @Sports_gouv , @Paris2024 @FranceOlympique , @Paris . 

Découvrez l’action de l’Agence nationale du Sport pour le parasport et le paralympisme.

#TousPourLeSport #JO2024 #Paris2024 #journeeparalympique https://t.co/JOAoamOOit",2022-10-10 13:12:55+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579453769699700737,estimeo,"[Levée de fonds de la semaine] Leader français de la vente en ligne d’articles de sport, L’ETI Toulousaine @iRunFr lève 100M€ pour implanter une 10aine de magasins supplémentaires en France d’ici aux JO 2024 et accroître sa présence européenne 🚀 https://t.co/uUstJ1F52B",2022-10-10 12:48:18+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579452678031433732,SANDALIOCARMONA,JO 2024 : le plan de soutien aux équipements sportifs de proximité concernera désormais toutes les communes https://t.co/D9dCUDSZgd via @lemondefr,2022-10-10 12:43:57+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579450884874178560,clemtomlinson42,"@ActusGym Si Melnikova le pense vraiment, j'espère qu'on ne la reverra pas avant longtemps dans une compétition internationale et encore moins aux JO 2024.",2022-10-10 12:36:50+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579447334391361536,lemonde_sport,JO 2024 : le plan de soutien aux équipements sportifs de proximité concernera désormais toutes les communes https://t.co/OyNxVQY0z2,2022-10-10 12:22:43+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579446920077983745,RDelinfo,"Paris : à quoi ressemblera la Gare du Nord, rénovée d'ici aux JO 2024 ? - https://t.co/TwGLYc6wN5
Abandonnée fin 2021, l'importante rénovation de la Gare du Nord doit muer – comme présenté par Gares &amp; Connexions en mars dernier – en un projet...Voir la source https://t.co/s8Q1sP7sKf",2022-10-10 12:21:05+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579446129422667776,MICKAEL8023,"@ActusGym Force et courage aux gymnaste ukrainienne 💪💪🙏🙏
J'espère que Melnikova sera suspendu et pour longtemps !!
J'espère que l'on verra aucune Russe au JO2024 !!
De toute façon elles peuvent pas ce qualifié et avoir de qotas vue qu'il ne concours dans aucune épreuve ? 🤔🤔",2022-10-10 12:17:56+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579440188593692672,checanez,@CNEWS Hahahahahahahahaha 🤣🤣 JO 2024 !!!! Si Paris existe toujours !!!!,2022-10-10 11:54:20+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579438330374402048,AurelieCoudouel,.@Decathlon habille les volontaires des #JO2024 ! https://t.co/9cDpiYvaFJ via @unpotedanslacom,2022-10-10 11:46:57+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579435649123627009,adrotitanique,"@alprazolope @_urbantraveler @stefdups @Metro_Insolite Ça marche que sur samsung lr l'instant. 
Et est en bêta sur android.
Ils 2023 (voire 2024 pr les jo)",2022-10-10 11:36:17+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579433882868649984,ErsiliaSoudais,"Ce samedi, à l'Adapt'athlon de #MitryMory pour découvrir, entre autres, le volley assis. Une pratique qui devrait avoir toute sa place dans le cadre de l'enseignement de l'EPS à l'école et j'espère aussi que cette discipline sera pérennisée même après les JO de Paris 2024. https://t.co/aTijBJBVbT",2022-10-10 11:29:16+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579432833374093318,LesmediasM,"@CNEWS «Paris : à quoi ressemblera la Gare du Nord, rénovée d'ici aux JO 2024 ?»

Au tiers-monde.",2022-10-10 11:25:06+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579430778282577925,CNEWS,"Paris : à quoi ressemblera la Gare du Nord, rénovée d'ici aux JO 2024 ? https://t.co/MwfQOlp20x",2022-10-10 11:16:56+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579425409221160961,signorelems,@rglucks1 Pas un mot sur le jo2024 …,2022-10-10 10:55:36+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579423789804556288,JOParis2024,@VIGNERONGAETAN Pk devrait-on prendre le classement 1 tour avant? Hier qd Max passe la ligne il reste 3sec donc d'après le règlement il devrait y avoir encore 2 tours et non 1. Il n'y en a eu que 1 seul. Donc Leclerc aurait encore dû faire 1 tour comme à Singapour.,2022-10-10 10:49:10+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579421482114895873,ecom_news,#JO2024 @Paris2024 : Le Comité d'organisation des @jeuxolympiques a annoncé une campagne de 500 #recrutements pour les six prochains mois ce qui portera les effectifs à 1350. https://t.co/lbvwKePNZd,2022-10-10 10:40:00+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579415608948854788,Baleineau23,"Ah @RATPgroup je rajouterai votre réseau sera une honte pour les JO 2024, vous avez du mal à gérer le réseau en temps normal pour les franciliens mais avec les touristes ça va être un désastre.",2022-10-10 10:16:39+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579406658551545858,desrues_jerome,@RERB C'est tous les jours la même chose et dans les deux sens rame vétuste changement de destination à la dernière minute travaux qui ne finisse jamais peut-être que se sera terminé avant 2024 pour les JO rassurer vous il y a pire la ligne C !!!,2022-10-10 09:41:06+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579402868448145413,Laetilewistiti,@CelineMalaise C’est hyper flippant de voir ces images et de se dire que dans quelques temps il y aura les JO 2024 😨😰😨,2022-10-10 09:26:02+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579401493719191562,JOParis2024,"@pdaipo @kevooo57 @lheritier945 @marcobambinojr @Footballogue En France, la DTA et même ça commence dans les ligues, vu que les consignes viennent d'en haut, les seuls protégés de cela sont les JAF qui lorsqu'ils arbitrent en fédé peuvent arbitrer comme en Angleterre mais dès le retour en ligue et F4-F3 faut montrer ton autorité.",2022-10-10 09:20:34+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579401271022587904,LMDPSG,@amox99 Rien ne sera fait avant les JO 2024,2022-10-10 09:19:41+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579400581877469184,JOParis2024,"@pdaipo @kevooo57 @lheritier945 @marcobambinojr @Footballogue Ceux que tu ne prends pas en compte dans ton analyse? C'est un jeu pour les spectateurs, mais aucunement pour les joueurs-arbitres-staff-président. Donc il faut encore plus prendre cela en compte. D'où les réactions avec l'arbitre des joueurs-staff-président.",2022-10-10 09:16:57+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579399564632936449,JOParis2024,"@pdaipo @kevooo57 @lheritier945 @marcobambinojr @Footballogue Il y a une analogie entre ceux qui se passent en France sur le terrain de foot et dans la rue avec les forces de l'ordre. On ne donne pas les bons moyens aux arbitres et aux policiers, et donc les joueurs-gens trouvent qu'ils sont trop autoritaires car incompréhension.",2022-10-10 09:12:54+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579399165045772288,JOParis2024,@pdaipo @kevooo57 @lheritier945 @marcobambinojr @Footballogue Je trouve que l'argument le foot est un jeu pour retoqué ma comparaison entre les joueurs qui contestent les décisions de l'arbitre comme dans notre société avec les gens remettant en cause l'autorité des forces de l'ordre n'est pas logique.,2022-10-10 09:11:19+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
